epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.4584,4.47085,7.57069,3.1991,0.00902,0.09202,0.00671,0.00319,1.9189,4.54459,1.63397,0.00332572,0.00332572,0.00332572
2,190.408,1.51057,3.87914,1.23781,0.03135,0.30304,0.03358,0.02548,0.94274,3.03038,1.0079,0.00652721,0.00652721,0.00652721
3,282.035,1.14613,3.14096,1.03405,0.10942,0.33054,0.09877,0.07789,0.78726,2.48698,0.93869,0.00959669,0.00959669,0.00959669
4,374.93,0.95521,2.46144,0.96041,0.31799,0.62516,0.38907,0.32249,0.67405,1.64495,0.89029,0.009406,0.009406,0.009406
5,468.67,0.83416,1.80996,0.92005,0.58598,0.79128,0.73078,0.62422,0.59941,1.15532,0.86836,0.009208,0.009208,0.009208
6,561.352,0.76797,1.37298,0.89981,0.71753,0.86811,0.84573,0.73455,0.5663,0.81776,0.8557,0.00901,0.00901,0.00901
7,646.612,0.72607,1.13769,0.88882,0.81411,0.89506,0.91189,0.79951,0.5356,0.66717,0.84664,0.008812,0.008812,0.008812
8,737.07,0.68833,0.97779,0.87915,0.86221,0.92884,0.94299,0.8331,0.52231,0.5719,0.84079,0.008614,0.008614,0.008614
9,824.685,0.66219,0.86725,0.87004,0.89289,0.94138,0.95764,0.85269,0.50003,0.51377,0.83643,0.008416,0.008416,0.008416
10,910.477,0.64315,0.78969,0.86669,0.90804,0.94102,0.96995,0.86698,0.48661,0.47798,0.83171,0.008218,0.008218,0.008218
11,994.587,0.62259,0.73308,0.86163,0.93035,0.96475,0.97287,0.87669,0.46592,0.41746,0.8266,0.00802,0.00802,0.00802
12,1080.31,0.60581,0.68987,0.8569,0.93541,0.96875,0.97494,0.87615,0.47397,0.40962,0.82907,0.007822,0.007822,0.007822
13,1172.08,0.59633,0.65603,0.85406,0.94575,0.97443,0.97939,0.88888,0.4479,0.37429,0.82215,0.007624,0.007624,0.007624
14,1263.6,0.58287,0.62467,0.8506,0.95463,0.97995,0.98352,0.89546,0.43886,0.34879,0.81982,0.007426,0.007426,0.007426
15,1356.53,0.57549,0.60174,0.84859,0.9528,0.9775,0.9831,0.89889,0.43165,0.34134,0.81699,0.007228,0.007228,0.007228
16,1454.64,0.56271,0.57582,0.84418,0.95471,0.98031,0.98137,0.9011,0.42036,0.33069,0.81514,0.00703,0.00703,0.00703
17,1548.53,0.55702,0.56051,0.8442,0.95913,0.97658,0.98296,0.90409,0.41736,0.32123,0.81351,0.006832,0.006832,0.006832
18,1639.04,0.54349,0.54164,0.83967,0.96325,0.97743,0.98532,0.90429,0.42246,0.31287,0.81448,0.006634,0.006634,0.006634
19,1727.47,0.53824,0.52434,0.83977,0.96454,0.97859,0.9857,0.9033,0.42134,0.30524,0.81261,0.006436,0.006436,0.006436
20,1829.89,0.53207,0.51834,0.83775,0.96044,0.97741,0.98385,0.91093,0.3985,0.30074,0.80876,0.006238,0.006238,0.006238
21,1930.05,0.52453,0.50187,0.83562,0.95842,0.97995,0.98388,0.91379,0.39323,0.29655,0.80538,0.00604,0.00604,0.00604
22,2019.21,0.51958,0.49327,0.83372,0.96601,0.98134,0.98564,0.9118,0.39827,0.28818,0.80592,0.005842,0.005842,0.005842
23,2105.04,0.51295,0.48376,0.83182,0.96759,0.98272,0.98662,0.91564,0.39126,0.27891,0.80538,0.005644,0.005644,0.005644
24,2191.02,0.50598,0.46982,0.83015,0.96529,0.98205,0.98579,0.91933,0.38126,0.27533,0.80224,0.005446,0.005446,0.005446
25,2279.41,0.50121,0.46391,0.82872,0.96711,0.9815,0.98692,0.92284,0.37391,0.2702,0.80112,0.005248,0.005248,0.005248
26,2365.12,0.49861,0.45903,0.82933,0.96935,0.98232,0.98733,0.92327,0.37438,0.26464,0.80017,0.00505,0.00505,0.00505
27,2450.14,0.49146,0.45123,0.82725,0.96907,0.98467,0.98802,0.92523,0.36757,0.25982,0.79938,0.004852,0.004852,0.004852
28,2534.99,0.48665,0.44106,0.82653,0.96882,0.98039,0.98703,0.92551,0.3686,0.25938,0.79863,0.004654,0.004654,0.004654
29,2622.06,0.48413,0.43474,0.82485,0.97001,0.97783,0.98654,0.92583,0.3665,0.25691,0.79815,0.004456,0.004456,0.004456
30,2708.76,0.48195,0.4337,0.82592,0.96957,0.98378,0.98728,0.92916,0.36048,0.253,0.79731,0.004258,0.004258,0.004258
31,2793.56,0.47478,0.42502,0.82406,0.97532,0.9799,0.98829,0.93023,0.35973,0.24853,0.79733,0.00406,0.00406,0.00406
32,2878.2,0.47091,0.41772,0.82353,0.97356,0.9832,0.98867,0.93243,0.3548,0.24591,0.79598,0.003862,0.003862,0.003862
33,2962.98,0.46688,0.41099,0.82214,0.97487,0.98039,0.98826,0.93229,0.35308,0.24407,0.79561,0.003664,0.003664,0.003664
34,3047.85,0.46194,0.40504,0.8207,0.97145,0.98338,0.98802,0.93208,0.35295,0.24333,0.79552,0.003466,0.003466,0.003466
35,3133.22,0.45909,0.39958,0.81919,0.97165,0.98667,0.98855,0.93344,0.34899,0.23945,0.79465,0.003268,0.003268,0.003268
36,3218.13,0.4543,0.39511,0.8194,0.97089,0.98707,0.98858,0.93486,0.34741,0.2377,0.794,0.00307,0.00307,0.00307
37,3304.63,0.45054,0.38921,0.81859,0.97293,0.98457,0.98848,0.93582,0.34404,0.23622,0.79336,0.002872,0.002872,0.002872
38,3388.91,0.44857,0.38356,0.81851,0.97227,0.98681,0.98874,0.93633,0.34317,0.23474,0.79316,0.002674,0.002674,0.002674
39,3473.58,0.44723,0.381,0.81602,0.97169,0.98643,0.98882,0.93718,0.34219,0.23279,0.7929,0.002476,0.002476,0.002476
40,3557.8,0.44016,0.37609,0.81665,0.97514,0.98141,0.98875,0.93693,0.34155,0.23255,0.79262,0.002278,0.002278,0.002278
41,3661.26,0.4044,0.30144,0.81214,0.97396,0.98649,0.98922,0.9393,0.33859,0.22901,0.79218,0.00208,0.00208,0.00208
42,3744.51,0.39515,0.29272,0.8101,0.97224,0.98808,0.98926,0.94145,0.33512,0.2264,0.79163,0.001882,0.001882,0.001882
43,3834.32,0.39032,0.28864,0.80757,0.97538,0.98759,0.98982,0.94271,0.33283,0.22292,0.7913,0.001684,0.001684,0.001684
44,3924.09,0.38579,0.28191,0.80871,0.97372,0.98913,0.9898,0.9432,0.33108,0.22116,0.79087,0.001486,0.001486,0.001486
45,4020.03,0.38182,0.27803,0.8056,0.9749,0.98955,0.9899,0.94394,0.32929,0.21922,0.79042,0.001288,0.001288,0.001288
46,4110.89,0.37808,0.27369,0.80481,0.97583,0.98826,0.98974,0.94401,0.32853,0.21923,0.79006,0.00109,0.00109,0.00109
